Id;Nom;Ville;RNE;Code;Ponctuel
116;PROTECTORAT Saint Joseph;;0931026K;PSJ;
117;ALBERT DE MUN;;0940880W;ADM;
118;CARCADO SAISSEVAL PARIS;;0754029X;CSP;
119;JEAN LURCAT;;0753268V;JLPP;
120;EMMANUEL MOUNIER;;0920135X;EMCM;
121;Cours Privé Diderot Paris 11;Paris;0755559K;DID;x
122;UFA Valentin HAUY 75;Paris;0755311R;VAL;
123;ELITECH-PARIS;Paris;0756027U;ELI;
124;Educatel 77;;077203SB;ED77;x
125;Educatel Essone;;091201SY;EDU91;
126;APEP SUP;Paris;0755775V;APEP;x
127;France For Paris;Paris;075205SC;FFP;
128;Elyon Company;;0922873Y;ELYC;x
129;Lycée Fénelon Sup La Pleine Monceau;Paris;0754037F;LFS;x
130;Ecole Santé et Juridique;;0922856E;ESJ;x
131;IMIE Paris;;0922863M;IMIP;x
132;ENSUP CERGY;Cergy;9500024;ENSUPC;
133;INSTA;Paris;0755294X;INSTA;x
134;ADG;Paris;0755827B;ADG;x
135;CFA AFORP FORMATION;;0932760V;AFF;x
136;CFA ISW EDUCATION;;0756351W;ISW;x
137;EMSCA;Bussy St Georges;0772893B;EMSC;x
138;EUROFORMA;Paris;0756015F;EURO;x
